Fauna,ID,x,y
struthiomimus,1,12,81
triceratops,1,47,108
triceratops,2,96,79
pteranodon,1,159,14
cimolestes,1,92,145
tyrannosaurus,1,153,88
tyrannosaurus,1,196,55
tyrannosaurus,1,229,18
ankylosaurus,1,237,125
edmontosaurus,1,260,79
brontosaurus,1,403,129
brontosaurus,1,454,59
brontosaurus,1,510,12
brontosaurus,2,383,61
rhamphorhynchus,1,461,18
stegosaurus,1,512,67
archaeopteryx,1,512,118
archaeopteryx,2,602,137
allosaurus,1,647,65
allosaurus,2,575,53
camptosaurus,1,672,122
podokesaurus,1,752,120
plateosaurus,1,782,86
plateosaurus,2,764,98
cynognathus,1,776,137
saltoposuchus,1,809,149
edaphosaurus,1,879,133
dimetrodon,1,938,114
araeoscelis,1,936,145
sphenacodon,1,979,92
ophiacodon,1,1010,120
varanosaurus,1,1030,157
limnoscelis,1,1051,110
seymouria,1,1069,145
eryops,1,1104,118
meganeuropsis,1,1104,151
eogyrinus,1,1151,147
diplovertebron,1,1139,133
eusthenopteron,1,1200,149
eusthenopteron,2,1190,141
cheirolepis,1,1231,159
